domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.digitaljournal.com,0.0,1.0,0.0,1.0,1.0
www.disneyfoodblog.com,0.0,1.0,0.0,1.0,1.0
africasacountry.com,0.0,1.0,0.0,1.0,1.0
www.euractiv.com,0.0,1.0,0.0,1.0,1.0
futurism.com,0.0,1.0,0.0,1.0,1.0
www.forbes.com,0.0,1.0,0.0,1.0,1.0
www.foxweather.com,0.0,1.0,0.0,1.0,1.0
www.independent.ie,0.0,1.0,0.0,1.0,1.0
japantoday.com,0.0,1.0,0.0,1.0,1.0
www.abqjournal.com,0.0,1.0,0.0,1.0,1.0
www.jacksonville.com,0.0,1.0,0.0,1.0,1.0
www.abc.net.au,0.0,1.0,0.0,1.0,1.0
www.lifeinsuranceinternational.com,0.0,1.0,0.0,1.0,1.0
www.miamiherald.com,0.0,1.0,0.0,1.0,1.0
weather.com,0.0,1.0,0.0,1.0,1.0
freerepublic.com,0.0,1.0,0.0,1.0,1.0
www.nationalobserver.com,0.0,1.0,0.0,1.0,1.0
vorarlberg.orf.at,0.0,1.0,0.0,1.0,1.0
ooe.orf.at,0.0,1.0,0.0,1.0,1.0
